Team,ET_gt_total,ET_gt_mean,ET_gt_std,ET_pred_total,ET_pred_mean,ET_pred_std,ET_ratio,TC_gt_total,TC_gt_mean,TC_gt_std,TC_pred_total,TC_pred_mean,TC_pred_std,TC_ratio,WT_gt_total,WT_gt_mean,WT_gt_std,WT_pred_total,WT_pred_mean,WT_pred_std,WT_ratio
NVAUTO,191,3.23728813559322,3.038392656311398,178,3.016949152542373,2.63928293692498,0.9319371727748691,191,3.23728813559322,3.038392656311398,169,2.864406779661017,2.500560121108083,0.8848167539267016,180,3.0508474576271185,2.8666624354994616,169,2.864406779661017,2.5275272777192836,0.9388888888888889
S_Y,191,3.23728813559322,3.038392656311398,153,2.593220338983051,2.3004689578490303,0.8010471204188482,191,3.23728813559322,3.038392656311398,145,2.457627118644068,2.2945922712909086,0.7591623036649214,180,3.0508474576271185,2.8666624354994616,145,2.457627118644068,2.2271212238459897,0.8055555555555556
blackbean,191,3.23728813559322,3.038392656311398,168,2.847457627118644,2.778937483345052,0.8795811518324608,191,3.23728813559322,3.038392656311398,162,2.7457627118644066,2.7714844602100634,0.8481675392670157,180,3.0508474576271185,2.8666624354994616,165,2.7966101694915255,2.698271015882359,0.9166666666666666
