Team Name,ET_score,ET_std,ET_median,TC_score,TC_std,TC_median,WT_score,WT_std,WT_median,ET_rank,TC_rank,WT_rank,avg_rank
NVAUTO,0.5917942337561921,0.23787038278058145,0.576271186440678,0.6397430698703328,0.24815782714717824,0.5955949549007601,0.6121328219007358,0.2312047826831197,0.5952291676480395,1,1,1,1.0
S_Y,0.560961474686181,0.27614432858369725,0.5667510463544932,0.609977644081006,0.2947367646411944,0.5864233539154956,0.5908680165908143,0.283472821895778,0.6002995172961785,2,2,2,2.0
blackbean,0.556367505226003,0.2597897987362171,0.5617999500301935,0.5992988143020048,0.27562676401162417,0.5821558588844138,0.5654488886881539,0.2697324531793283,0.5400884167792536,3,3,3,3.0
